행정구역,주소1,주소2,주소3,섬이름,면적 (㎢),해안선(㎞),위도,경도
여수시,여수시,삼산면,손죽리,평도,0.489,5.5,34.2463,127.4506306
여수시,여수시,경호동,,소경도,0.423,3.5,34.70745556,127.7062139
완도군,완도군,금일읍,,평일도(금일도),20.389,66.5,34.34878056,127.0444556
신안군,신안군,증도면,병풍리,소기점도,0.35,3.4,34.93153889,126.2027306
완도군,완도군,군외면,당인리,흑일도,1.927,7.9,34.27795556,126.5559667
고흥군,고흥군,남양면,남양리,우도,0.626,3.25,34.72291944,127.3104806
완도군,완도군,노화읍,내리,어룡도,0.369,5.4,34.28548611,126.4719417
신안군,신안군,지도읍,어의리,소포작도(작은포작도),0.37,2.8,35.12522778,126.2056361
완도군,완도군,금일읍,사동리,섭도,0.389,3.3,34.30101389,127.1283472
완도군,완도군,노화읍,신양리,마삭도,0.168,3,34.24543056,126.5644722
완도군,완도군,군외면,당인리,양도,0.071,1.7,34.29935,126.5085
신안군,신안군,안좌면,산두리,요력도,0.142,2,34.72879167,126.1883
신안군,신안군,흑산면,만재도리,만재도,0.75,5.5,34.20885833,125.4702
고흥군,고흥군,동일면,,내나로도,20.627,44,34.50801667,127.4601278
진도군,진도군,조도면,내병도리,내병도,0.874,7.02,34.37123333,125.9673972
진도군,진도군,지산면,가학리,장도,0.248,10,34.45633611,126.0965611
완도군,완도군,군외면,당인리,백일도,1.01,8.9,34.296625,126.584725
여수시,여수시,율촌면,여동리,송도,0.546,5.4,34.88130278,127.6224722
신안군,신안군,도초면,,도초도,44.04,42,34.70354722,125.9534333
신안군,신안군,장산면,마진도리,율도,0.43,5,34.5783,126.1953583
신안군,신안군,도초면,우이도리,서소우이도,0.27,12,34.60831111,125.8701389
영광군,영광군,낙월면,,안마도,4.327,18.7,35.34842778,126.0285222
여수시,여수시,남면,두라리,나발도,0.122,3,34.57221389,127.7399806
완도군,완도군,군외면,당인리,동화도,0.399,3.5,34.28697222,126.608625
신안군,신안군,증도면,병풍리,병풍도,4.59,12.9,34.96848333,126.2072306
여수시,여수시,화양면,이천리,대운두도(운두도),0.493,4.3,34.74301667,127.5621389
완도군,완도군,고금면,덕동리,초완도,0.41,3.8,34.42179167,126.8730722
고흥군,고흥군,과역면,백일리,원주도,0.704,3,34.66890278,127.4727139
해남군,해남군,화산면,삼마리,중마도,0.096,2,34.43777222,126.4332694
완도군,완도군,고금면,덕동리,넙도,0.138,2,34.42863611,126.8543889
신안군,신안군,장산면,다수리,막금도,1.17,5.3,34.62130278,126.1174583
여수시,여수시,화정면,여자리,송여자도(소여자도),0.179,3.75,34.75875833,127.512675
여수시,여수시,율촌면,여동리,대륵도,0.068,1.5,34.86756111,127.6207667
고흥군,고흥군,포두면,오취리,첨도,0.525,3,34.57002222,127.4473639
영광군,영광군,낙월면,상낙월리,상낙월도,0.867,11.2,35.20388333,126.1442361
신안군,신안군,안좌면,반월리,반월도,1.97,6.7,34.70519167,126.1043833
신안군,신안군,안좌면,박지리,박지도,1.19,4.6,34.70838889,126.1286556
완도군,완도군,금일읍,충동리,충도,2.157,9,34.387575,127.0901083
고흥군,고흥군,봉래면,사양리,애도,0.177,1,34.4633,127.4479556
여수시,여수시,화정면,여자리,대여자도,0.474,2.7,34.75634444,127.5004361
여수시,여수시,남면,유송리,수항도,0.055,2,34.536975,127.772725
신안군,신안군,비금면,수치리,상수치도,1.09,3.5,34.76053611,126.0234306
신안군,신안군,하의면,,하의도,15.15,39.5,34.60667222,126.0367167
고흥군,고흥군,봉래면,,외나로도,26.005,45.6,34.44641111,127.5066194
여수시,여수시,남면,횡간리,대횡간도,0.347,4.8,34.57909722,127.7601917
여수시,여수시,남면,두라리,소두라도,0.189,7.5,34.56635556,127.7477917
신안군,신안군,임자면,재원리,재원도,5.03,11,35.08944167,126.0233167
여수시,여수시,화정면,월호리,자봉도,0.412,6.14,34.59376944,127.6859972
진도군,진도군,조도면,독거도리,탄항도,0.196,1.82,34.23873056,126.1760806
영광군,영광군,낙월면,임병리,죽도,0.176,2.5,35.35345833,126.0021083
신안군,신안군,신의면,,신의도,32.33,32,34.58478611,126.0879722
고흥군,고흥군,도화면,지죽리,죽도,0.227,5,34.44639722,127.292625
완도군,완도군,소안면,당사리,당사도,1.4,8,34.10775278,126.5925972
진도군,진도군,조도면,가사도리,주지도,0.553,2.82,34.48885,126.0821444
신안군,신안군,흑산면,태도리,중태도,0.51,4.5,34.42567222,125.2836833
완도군,완도군,군외면,당인리,서화도,0.111,0.9,34.31626944,126.5019972
진도군,진도군,조도면,죽항도리,죽항도,0.487,4.77,34.26491389,126.1042694
여수시,여수시,화정면,제도리,제도,1.096,9,34.59590556,127.6545722
여수시,여수시,삼산면,손죽리,소거문도,1.77,7.5,34.29095833,127.3903
신안군,신안군,하의면,능산리,대야도,4.26,12.3,34.63289167,125.9662667
완도군,완도군,소안면,횡간리,횡간도,3.267,11.5,34.24027222,126.6057278
진도군,진도군,조도면,눌옥도리,눌옥도,0.604,4.62,34.34890833,125.9531917
완도군,완도군,노화읍,내리,장구도(대장구도),0.175,8,34.26119722,126.4513833
여수시,여수시,남면,연도리,연도(소리도),6.932,35.6,34.43271389,127.8008361
신안군,신안군,증도면,병풍리,소악도,0.64,2.9,34.92543611,126.1954917
여수시,여수시,남면,두라리,대두라도,1.016,7.6,34.56551667,127.7341833
진도군,진도군,조도면,독거도리,독거도,0.976,6.07,34.25100556,126.1804278
신안군,신안군,하의면,능산리,능산도,5.38,14.2,34.61736667,126.0011028
