fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"107",전라남도,담양군,가사문학면,청촌 마을회관,전라남도 가사문학면 가암2리 394-1,35.1774663,127.0278708,69.84,2022/05/27,"1",1000.000000,4
"108",전라남도,담양군,가사문학면,풍암 마을회관,전라남도 가사문학면 풍암리 103,35.1806481,127.0552664,70.2,2022/05/27,"1",1000.000000,0
"109",전라남도,담양군,가사문학면,화암 마을회관,전라남도 가사문학면 화암리 340-1,35.1774663,127.0278708,72.36,2022/05/27,"1",1000.000000,4
"110",전라남도,담양군,창평면,시동 마을회관,전라남도 창평면 창평1리 287-3,35.2388968,127.0190521,77.74,2022/05/27,"1",1000.000000,0
"111",전라남도,담양군,창평면,사동 마을회관,전라남도 창평면 창평2리 637-12,35.2388968,127.0190521,88.08,2022/05/27,"1",1000.000000,0
"112",전라남도,담양군,창평면,상삼천 마을회관,전라남도 창평면 삼천2리 173-6,35.2388968,127.0190521,93.66,2022/05/27,"1",1000.000000,0
"113",전라남도,담양군,창평면,수곡 마을회관,전라남도 창평면 용수1리 253,35.2388968,127.0190521,86.34,2022/05/27,"1",1000.000000,0
"114",전라남도,담양군,창평면,용운동 마을회관,전라남도 창평면 용수2리 416-2,35.2388968,127.0190521,80.33,2022/05/27,"1",1000.000000,0
"115",전라남도,담양군,창평면,용수전원 마을회관,전라남도 창평면 용수1길 3,34.7847293,127.6993336,82.4,2022/05/27,"1",1000.000000,0
"116",전라남도,담양군,창평면,유천 마을회관,전라남도 창평면 유천1리 121-1,35.222398,127.020234,184,2022/05/27,"1",1000.000000,0
"117",전라남도,담양군,창평면,양산 마을회관,전라남도 창평면 오강1리 111,35.2388968,127.0190521,66,2022/05/27,"1",1000.000000,0
"118",전라남도,담양군,창평면,오산 마을회관,전라남도 창평면 오강1리 272-2,35.2388968,127.0190521,73.2,2022/05/27,"1",1000.000000,0
