,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
19064,TSB332000266,세동,1.0,N,Se Dong,34.543643,127.34457,2021/09/16 04:01:26,3320266.0,36350,고흥군
19065,TSB332000267,미후입구,1.0,N,Mi Hu Ip Gu,34.543645,127.351415,2021/09/16 04:01:26,3320267.0,36350,고흥군
19066,TSB332000268,우산,1.0,N,U San,34.54371,127.415292,2021/09/16 04:01:26,3320268.0,36350,고흥군
19067,TSB332000269,미후입구,1.0,N,Mi Hu Ip Gu,34.54371,127.352004,2021/09/16 04:01:26,3320269.0,36350,고흥군
19068,TSB332000270,세동,1.0,N,Se Dong,34.54376,127.344705,2021/09/16 04:01:26,3320270.0,36350,고흥군
19069,TSB332000271,내산,1.0,N,Nae San,34.544682,127.368047,2021/09/16 04:01:26,3320271.0,36350,고흥군
19070,TSB332000272,내산,1.0,N,Nae San,34.54477,127.367984,2021/09/16 04:01:26,3320272.0,36350,고흥군
19318,TSB332000273,분매,1.0,N,Bun Mae,34.544826,127.202985,2021/09/16 04:01:26,3320273.0,36350,고흥군
19319,TSB332000274,세동삼거리,1.0,N,Se Dong Sam Geo Ri,34.544871,127.344078,2021/09/16 04:01:26,3320274.0,36350,고흥군
19320,TSB332000275,세동삼거리,1.0,N,Se Dong Sam Geo Ri,34.544871,127.344889,2021/09/16 04:01:26,3320275.0,36350,고흥군
19321,TSB332000276,분매,1.0,N,Bun Mae,34.544925,127.203036,2021/09/16 04:01:26,3320276.0,36350,고흥군
19322,TSB332000277,잠두,1.0,N,Jam Du,34.545426,127.116713,2021/09/16 04:01:26,3320277.0,36350,고흥군
19323,TSB332000278,잠두,1.0,N,Jam Du,34.545544,127.116738,2021/09/16 04:01:26,3320278.0,36350,고흥군
19324,TSB332000279,금탑사,1.0,N,Geum Tap Sa,34.546533,127.294326,2021/09/16 04:01:26,3320279.0,36350,고흥군
19325,TSB332000280,금탑사,1.0,N,Geum Tap Sa,34.546607,127.294422,2021/09/16 04:01:26,3320280.0,36350,고흥군
