시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,대덕면,저심 마을회관,전라남도 대덕면 운산1리 15-2,108.65,2022-05-27
전라남도,담양군,대덕면,입석 마을회관,전라남도 대덕면 입석리 324,74.1,2022-05-27
전라남도,담양군,무정면,술지 마을회관,전라남도 무정면 봉안1리 593,124.42,2022-05-27
전라남도,담양군,무정면,수문동 마을회관,전라남도 무정면 봉안2리 38-1,81.74,2022-05-27
전라남도,담양군,무정면,외당 마을회관,전라남도 무정면 오룡1리 325-2,136.62,2022-05-27
전라남도,담양군,무정면,내당 마을회관,전라남도 무정면 오룡2리 460-1,83.75,2022-05-27
전라남도,담양군,무정면,오봉 마을회관,전라남도 무정면 오봉리 134-1,58.8,2022-05-27
전라남도,담양군,무정면,죽산 마을회관,전라남도 무정면 영천1리 484-1,453,2022-05-27
전라남도,담양군,무정면,봉서 마을회관,전라남도 무정면 영천2리 424-5,79.33,2022-05-27
전라남도,담양군,무정면,중리 마을회관,전라남도 무정면 성도1리 199-2,119.09,2022-05-27
전라남도,담양군,무정면,성덕 마을회관,전라남도 무정면 성도2리 593-6,90.72,2022-05-27
전라남도,담양군,무정면,칠전 마을회관,전라남도 무정면 동산1리 996-2,82.35,2022-05-27
전라남도,담양군,무정면,칠지 마을회관,전라남도 무정면 동산2리 564-3,165,2022-05-27
전라남도,담양군,무정면,동산 마을회관,전라남도 무정면 동산3리 138-1,75.45,2022-05-27
전라남도,담양군,무정면,안평 마을회관,전라남도 무정면 안평리 202-1,98.73,2022-05-27
전라남도,담양군,무정면,덕곡 마을회관 ,전라남도 무정면 덕곡리 297-1,87.08,2022-05-27
전라남도,담양군,무정면,서흥1구 마을회관,전라남도 무정면 서흥1리 561-1,72.84,2022-05-27
전라남도,담양군,무정면,서흥2구 마을회관,전라남도 무정면 서흥2리 206-1,57.7,2022-05-27
전라남도,담양군,무정면,정석 마을회관,전라남도 무정면 정석리 157-11,66.1,2022-05-27
전라남도,담양군,무정면,평지 마을회관,전라남도 무정면 평지리 299-1,85.28,2022-05-27
전라남도,담양군,무정면,강정자 마을회관,전라남도 무정면 동강1리 325-1,84.55,2022-05-27
전라남도,담양군,무정면,등룡 마을회관,전라남도 무정면 오례2리 646,107.83,2022-05-27
전라남도,담양군,무정면,신촌 마을회관 ,전라남도 무정면 오례3리 114-6,81.28,2022-05-27
전라남도,담양군,금성면,내천 마을회관,전라남도 금성면 원리1리 71-1,40.68,2022-05-27
전라남도,담양군,금성면,외천 마을회관,전라남도 금성면 원리2리 177-1,76.91,2022-05-27
전라남도,담양군,금성면,석현 마을회관,전라남도 금성면 석현1리 163-1,138.6,2022-05-27
전라남도,담양군,금성면,무림동 마을회관,전라남도 금성면 석현2리 333-2,66.56,2022-05-27
전라남도,담양군,금성면,양지 마을회관,전라남도 금성면 대성1리  774,130.44,2022-05-27
