2021년 장흥군 읍면별 경로당 현황,,,,,
,,,,,
연번,읍면,경로당명,주소,등록일자,구분
316,장평,교  촌,청용1길 14,2002. 11. 12,공동
317,장평, 기  동 ,기동길 71-1,2001. 10. 10,공동
318,장평,석  정,석정길 75-5,2002. 02. 26,공동
319,장평,작  산,작산길 12-1,2002. 05. 09,공동
320,장평,선정1구,선정2길 6,2002. 05. 09,공동
321,장평,마  산,마산길 43,1999. 10. 15,공동
322,장평,종  정,종정길 80,2005. 01. 27,공동
323,장평,광  평,광평길 50,2000. 09. 05,공동
324,장평,녹  양,갈영죽동길 31,1999. 10. 15,공동
325,장평,원녹양,녹양길 35,2002. 02. 26,공동
326,장평,부  평,임리어곡길 28-7,1991. 03. 01,남
327,장평,임  리,임리어곡길 52-15,2000. 09. 22,공동
328,장평,내  동,내동길 61,2001. 10. 10,공동
329,장평,삼  정,삼정길 26-16,2002. 04. 15,공동
330,장평,어  곡,어곡1길 160,2002. 04. 15,공동
331,장평,복  흥,복흥길 80,2001. 10. 10,공동
332,장평,부  정,부정길 46,2004. 05. 17,공동
333,장평,진 산,두봉진산길 215,2002. 04. 15,공동
334,장평,원진산,두봉진산길 399,2007. 02. 08,공동
335,장평,옥  련,옥련길 34,2009. 04. 02,공동
336,장평,두  봉,두봉진산길 16-3,2001. 10. 10,공동
337,장평,원두봉,두봉길 30,2018. 08. 03,공동
338,유치,유  치,유치로 56,2012. 06. 29,남
339,유치,서  부,신풍신덕로 19,1989. 06. 01,남
340,유치,대  리,수인산성길 148,2010. 03. 24,공동
341,유치,신  월,휴양림길 110-35,2005. 05. 31,공동
342,유치,관  동,장흥대로 5474-10,2005. 04. 29,공동
343,유치,반월1구,반월길 137,2001. 10. 10,공동
344,유치,반월2구,장흥대로 5609,2000. 09. 22,공동
345,유치,조양(남),조양1길 29-1,2001. 12. 20,남
346,유치,조양(여),조양1길 29-1,1995. 10. 09,여
347,유치,인  암,인암2길 108,2008. 05. 02,공동
348,유치,상  촌,조양상촌길 1,2002. 12. 20,공동
349,유치,원  등,원등길 60,2003. 10. 21,공동
350,유치,신풍(여),신풍서길 4,1996. 05. 31,여
351,유치,신풍2구,마정길 91-1,2001. 10. 10,공동
352,유치,용 문,대삼길 148,2009. 04. 02,공동
353,유치,봉덕1구,봉덕신덕길 10,2001. 10. 10,공동
354,유치,봉덕2구,봉덕신덕길 210,2005. 10. 18,공동
355,유치,대  천,암천길 10-17,2003. 10. 21,공동
356,유치,소  양,대천운월길 277,2020. 02. 11,공동
357,유치,운월2구,봉덕신덕길 512-31,2000. 10. 22,공동
358,부산,수성당,부유로 34-1,1989. 06. 01,남
359,부산,화성당,부유로 25-8,2003. 10. 15,여
360,부산,안곡(남),안곡2길 57,1995. 02. 15,남
361,부산,안곡(여),내안구룡길 94,2002. 04. 15,여
362,부산,내  동,내동2길 35,1995. 02. 16,남
363,부산,수인당,내동1길 5-16,2005. 03. 09,여
364,부산,자  미,자미1길 127,1995. 02. 16,공동
365,부산,용  두,구룡용두2길 4,1993. 12. 30,공동
366,부산,거  동,거동길 98,2009. 04. 02,공동
367,부산,유  량,유량길 15,2001. 10. 10,공동
368,부산,양  촌,유량양촌1길 17,2000. 09. 20,공동
369,부산,용  동,용동길 32,2002. 04. 15,공동
370,부산,심  천,심천공원길 64-3,2008. 05. 02,공동
371,부산,용반(남),용반3길 9,1991. 12. 31,남
372,부산,용반(여),용반3길 9,2003. 08. 14,여
373,부산,효  자,효자1길 8,1995. 02. 16,공동
374,부산,금  장,금장길 49-3,1995. 03. 22,공동
375,부산,관  한,금관길 131,2000. 09. 20,공동
376,부산,호  계,호계남길 24,1991. 12. 31,공동
377,부산,월  만,월만길 5-5,2000. 09. 20,공동
378,부산,이  곡,뱃골길 2-5,2012. 05. 25,공동
379,부산,기  동,기동1길 84,1995. 02. 16,공동
380,부산,성  자,성자길 80,2001. 12. 13,공동
381,부산,부춘정,부춘길 76,2004. 05. 20,공동
382,부산,고  개,부춘길 137-10,2006. 12. 29,공동
383,회진,중  앙,회진중앙길 10-2,1989. 06. 01,남
384,회진,진목(남),미백길 107,1989. 06. 01,남
385,회진,진목(여),미백길 107,2002. 01. 14,여
386,회진,삭금(남),가학회진로 893,1989. 06. 01,남
387,회진,삭금(여),가학회진로 893,2002. 04. 15,여
388,회진,안삭금,가학회진로 789,1996. 04. 16,공동
389,회진,이회진,가학회진로 1317,1989. 06. 01,공동
390,회진,선학동,선학동길 21,1996. 04. 16,공동
391,회진,선  자,선자길 1,1997. 12. 24,공동
392,회진,회  진,회진남문길 9-4,1989. 06. 01,남
393,회진,서구(여),회령진성길 43,1991. 01. 03,여
394,회진,남구(여),회진중앙길 16-15,1998. 05. 09,여
395,회진,덕흥(남),덕흥1길 28,1995. 03. 22,남
396,회진,덕흥(여),덕흥1길 28,2002. 04. 15,여
397,회진,덕산(남),덕산2길 2,1989. 06. 01,남
398,회진,덕산(여),덕산2길 2,2002. 04. 15,여
399,회진,장  산,회진로 612,1996. 07. 29,남
400,회진,장산(여),장산길 3,2002. 11. 22,여
401,회진,노력(남),노력도3길 10,1989. 06. 01,남
402,회진,노력(여),노력도3길 10,2002. 04. 15,여
403,회진,대  리,회진로 840-17,1989. 06. 01,남
404,회진,대리(여),회진로 840-17,2001. 12. 15,여
405,회진,신상(남),회진로 905,1989. 06. 01,남
406,회진,신상(여),회진로 905,2001. 10. 10,여
407,회진,신덕(남),신상1길 16-1,1986. 02. 20,남
408,회진,신덕(여),신상1길 16-1,2001. 10. 10,여
