연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
174,화정면,여자,335 외 1,마파,마파부락새마을회,마파부락새마을회,2017-08-11,705,71.82,71.82,철근콘크리트,1층,,
175,화정면,송여자,294,송여자,송여자새마을회,여자리사무소,1997-12-31,115,61.2,30,시멘트벽돌,2츨,,1층 경로당
176,삼산면,거문,106-36,거문,거문리새마을회,거문리새마을회,2011-04-01,661,120,120,시멘트벽돌,1층,,
177,삼산면,덕촌,503,덕촌,덕촌새마을회,덕촌리사무소,1964-01-01,282,158.08,158.08,시멘트벽돌,2층,,
178,삼산면,서도,1260-3,변촌,변촌리새마을회,변촌리새마을회,1996-10-29,342,110.29,110.29,시멘트벽돌,1층,,
179,삼산면,서도,898,서도,서도리,서도리사무소,1966-01-01,222,225.3,120,시멘트벽돌,2층,,2층경로당
180,삼산면,동도,990,유촌,유촌리새마을회,유촌리새마을회,2008-01-30,245,206.5,88.6,철근콘크리트,1층,,
181,삼산면,동도,1194,죽촌,죽촌리새마을회,죽촌리새마을회,2009-12-29,222,129.65,129.65,시멘트벽돌,1층,,
182,삼산면,초도,산308/산157,대동,대동리새마을회,대동리새마을회,1992-01-01,496,295.08,295.08,철근콘크리트,2층,,
183,삼산면,초도,산2241,진막,송당금두,진막리총유재산,2006-12-26,397,268.92,268.92,시멘트벽돌,2층,,
184,삼산면,초도,산1495-2,의성,의성새마을회,의성새마을회,2007-01-08,581,283.35,283.35,시멘트벽돌,1층,,
185,삼산면,손죽,산1215,손죽,김화중,손죽리사무소,1997-05-20,281,167.56,167.56,시멘트벽돌,1층,,
186,삼산면,손죽,산466,소거문,소거문도새마을영농회,소거문도새마을영농회,2013-12-06,793,73.02,36.19,철근콘크리트,1층,,1층 경로당
187,삼산면,손죽,산212,평도,송종필,평도리사무소,1976-01-01,298,59.5,59.5,시멘트벽돌,1층,,
188,월호동,경호,963-5,오복,경도오복마을회,경도오복마을회,2012-10-11,421.1,146.4,146.4,"블록구조,경량철골구조","1,2층",,
