관할,경로당명,읍면동,리,번지,건축연도,건축물 면적,부지면적,소유자,데이터기준일자,,
별량면,송천경로당,별량면,동송,420-4,2003,80.24,,송천마을회,2020-08-20,,
승주읍,승주경로당,승주읍,평중,41-30,1991,146.18,,순천시,2020-08-20,,
낙안면,검암경로당,낙안면,검암,412-1,1999,88.95,357,낙안면검암마을회,2020-08-20,,
매곡동,매곡2단지아파트경로당,매곡동,,409-3,2007,83.25,,대한주택공사외 2명,2020-08-20,,
해룡면,용전경로당,해룡면,용전,402-3,2007,84,,해룡면용전리용전마을새마을회,2020-08-20,,
해룡면,농주경로당,해룡면,농주,402-1,1999,74.1,321,양석열,2020-08-20,,
해룡면,신월경로당,해룡면,용전,401-3,1989,59.4,,정준호외 2명,2020-08-20,,
도사동,야흥남자경로당,야흥동,,401-1,,56.1,261,"윤우엽외3인(이의형,황태규,이준형)",2020-08-20,,
조곡동,관사경로당,조곡동,,39-83,1982,68.51,164,순천시,2020-08-20,,
별량면,죽산남자경로당,별량면,죽산,389-5,2001,73.08,187,죽산리경로회,2020-08-20,,
황전면,내동경로당,황전면,죽내,387-1,1997,92.25,323,황전면내동마을회,2020-08-20,,
별량면,죽림경로당,별량면,죽산,385-5,2005,81.6,255,별량면죽림새마을회,2020-08-20,,
주암면,용촌경로당,주암면,복다,385-1,2004,81.76,,용촌리마을회,2020-08-20,,
별량면,용안경로당,별량면,대룡,381-4,2003,66.3,184,순천시별량면대룡리용안마을회,2020-08-20,,
해룡면,서가경로당,해룡면,남가,380-1,1999,71.48,163,서가마을새마을회,2020-08-20,,
삼산동,업동경로당,용당동,,379-2,1992,46.86,79,업동마을회,2020-08-20,,
남제동,강남경로당,인제동,,375-5,2003,211.86,252.6,순천시,2020-08-20,,
덕연동,덕우경로당,덕암동,,375-16,2013,105.18,818,순천시,2020-08-20,,
덕연동,덕암부인경로당,덕암동,,375-10,1978,69.61,,순천시,2020-08-20,,
황전면,상검경로당,황전면,죽청,372-1,2014,94,651,죽청리상검새마을회,2020-08-20,,
왕조1동,조례3차대주파크빌경로당,조례동,,372-1,2005,120.15,,두림건설주식회사외 1명,2020-08-20,,
왕조1동,조례금호아파트경로당,조례동,,372-1,1997,74.91,,금호건설주식회사,2020-08-20,,
별량면,신덕경로당,별량면,마산,371-1,2009,104.1,495,신덕청록회,2020-08-20,,
황전면,모전경로당,황전면,모전,369-1,1999,71.14,155,황전모전마을회,2020-08-20,,
별량면,신천경로당,별량면,운천,368-1,1999,71,238,신천마을회,2020-08-20,,
승주읍,사제경로당,승주읍,구강,367-2,1999,46.68,170,"남상두외4인, 남상철,박갑석,김기준,조순옥",2020-08-20,,
외서면,구암경로당,외서면,월암,363-1,1998,66,744,구암새마을회,2020-08-20,,
별량면,신송경로당,별량면,동송,362-11,2008,99.27,490,신송새마을회,2020-08-20,,
해룡면,복성경로당,해룡면,복성,361-2,2002,46.62,153,해룡복성마을회,2020-08-20,,
서면,죽평경로당,서면,죽평,359-6,1998,87,,죽평마을회,2020-08-20,,
승주읍,신전경로당,승주읍,신전,358-1,1993,72,,승주읍신전리마을회,2020-08-20,,
별량면,고장경로당,별량면,마산,357-1,2008,84.66,,고장마을한울이회,2020-08-20,,
별량면,덕산경로당,별량면,두고,356-7,1996,82.4,219,덕산새마을회,2020-08-20,,
월등면,망룡경로당,월등면,망용,354-13,1980,83.22,321,망용마을회,2020-08-20,,
서면,율리경로당,서면,압곡,354-1,2016,70.08,348,서면율리마을회,2020-08-20,,
외서면,장산경로당,외서면,장산,35-27,1999,95.5,671,함우석외1인 (이영호),2020-08-20,,
해룡면,상삼1리경로당,해룡면,상삼,348-1,2005,121.49,412,순천시,2020-08-20,,
별량면,상대경로당,별량면,대곡,346-2,2001,107.06,294,순천시별량면상대마을회,2020-08-20,,
낙안면,이곡여자경로당,낙안면,이곡,346-1,2001,201.65,556,이곡리1구마을회,2020-08-20,,
황전면,대치경로당,황전면,대치,345-1,2003,80,281,황전면대치마을회,2020-08-20,,
황전면,신기경로당,황전면,회룡,345-1,1998,78.22,1051,신기마을회,2020-08-20,,
향동,정수경로당,옥천동,,345-1,2015,56.28,283,순천시,2020-08-20,,
덕연동,생목한신경로당,생목동,,34-21,1982,65.96,,순천시,2020-08-20,,
해룡면,하사경로당,해룡면,하사,335-4,1998,102.74,299.3,하사마을,2020-08-20,,
낙안면,금산경로당,낙안면,금산,332-28,1998,70.95,178,금산마을회,2020-08-20,,
해룡면,송잠마을경로당,해룡면,농주,328-1,1974,49.44,83,양호교,2020-08-20,,
왕조1동,현남경로당,왕지동,,326-1,1996,63.2,337,현남새마을회,2020-08-20,,
도사동,신전경로당,대룡동,,324-16,2003,53.54,143,대룡동신전부인경로회,2020-08-20,,
남제동,남산경로당,남정동,,322-5,2008,90,249,순천시,2020-08-20,,
풍덕동,하풍경로당,풍덕동,,322-3,1992,105.8,499,풍덕동하풍마을회,2020-08-20,,
해룡면,신흥경로당,해룡면,월전,321-4,2007,151.13,616,순천시,2020-08-20,,
황전면,발산경로당,황전면,황학,320-1,2003,87.63,,발산부락마을회,2020-08-20,,
해룡면,계당경로당,해룡면,선학,318-5,2000,68.87,153,계당마을새마을회,2020-08-20,,
상사면,서동경로당,상사면,비촌,317-4,1997,93.61,242,상사면서동마을회,2020-08-20,,
해룡면,호두경로당,해룡면,호두,314-1,2005,90.4,158,호두리마을회,2020-08-20,,
해룡면,호두여자경로당,해룡면,호두,314-1,2005,90.4,158,호두리마을회,2020-08-20,,
주암면,신기경로당,주암면,비룡,312-4,2005,59.75,151,비룡리신기마을회,2020-08-20,,
남제동,신흥경로당,남정동,,312-3,2011,43,125,순천시,2020-08-20,,
승주읍,봉덕경로당,승주읍,봉덕,312-1,2004,87,,봉덕리봉곡마을회,2020-08-20,,
낙안면,평촌여자경로당,낙안면,평촌,310-1,2004,185.82,714.7,낙안면평촌리마을회,2020-08-20,,
낙안면,영학경로당,낙안면,평촌,309-1,,56.2,,낙안면평촌리마을회,2020-08-20,,
매곡동,북정남자경로당,매곡동,,304-4,2004,96,342,순천시,2020-08-20,,
매곡동,북정여자경로당,매곡동,,304-4,2004,96,342,순천시,2020-08-20,,
별량면,죽전경로당,별량면,무풍,298-1,1999,86.88,255,"김동빈외2인(신현우,서정권)",2020-08-20,,
서면,월곡경로당,서면,운평,297-5,2014,99.9,529,월곡리마을회,2020-08-20,,
별량면,송정경로당,별량면,송학,297-3,1998,85.36,725,조동조외1인(송정마을새마을회),2020-08-20,,
주암면,가남경로당,주암면,어왕,296-5,,60,,고광석외7인,2020-08-20,,
서면,비월경로당,서면,비월,295-5,2005,94.44,367,비월리새마을회,2020-08-20,,
서면,건천경로당,서면,압곡,295-2,1998,73.44,181.9,한국농어촌공사,2020-08-20,,
남제동,성남경로당,인제동,,29-37,2001,42.35,70.64,순천시,2020-08-20,,
서면,흥대경로당,서면,흥대,293-1,1979,83.6,,흥대리흥대마을회,2020-08-20,,
황전면,봉성경로당,황전면,죽내,291-3,2007,55.77,370,봉성마을회,2020-08-20,,
주암면,월평경로당,주암면,복다,290-7,2008,84.24,334,복다리월평마을회,2020-08-20,,
월등면,신월경로당,월등면,신월,290-1,2000,77.6,523,김효수,2020-08-20,,
승주읍,중대경로당,승주읍,평중,289-1,2003,100.17,182,중대새마을회,2020-08-20,,
외서면,덕치경로당,외서면,신덕,289-1,2003,101.13,588,신덕리새마을회,2020-08-20,,
월등면,당산경로당,월등면,월림,288-2,1997,65,113,당산마을회,2020-08-20,,
해룡면,삼동경로당,해룡면,상삼,287-1,2009,104.85,321,상삼리삼동마을회,2020-08-20,,
상사면,해룡경로당,상사면,초곡,286-7,1999,74.17,297,조정익외1인(박재석),2020-08-20,,
별량면,구기경로당,별량면,송기,284-1,2004,94,246,구기리새마을회,2020-08-20,,
별량면,석현경로당,별량면,봉림,282-6,2012,69.75,309,봉림리석현마을회,2020-08-20,,
저전동,갈마골경로당,저전동,,281-10,1990,85.07,,순천시,2020-08-20,,
주암면,남성경로당,주암면,창촌,278-16,1983,117.41,,남성노인정,2020-08-20,,
주암면,대구경로당,주암면,대구,273-1,2000,76.95,408.94,대구리마을회,2020-08-20,,
월등면,월등중앙경로당,월등면,대평,271-3,1953,526.34,,순천시,2020-08-20,,
상사면,서정경로당,상사면,응령,270-2,2005,75.88,193,상사서정마을회,2020-08-20,,
서면,대구1구경로당,서면,대구,265-7,1992,91.05,,대구리1구마을회,2020-08-20,,
해룡면,선학경로당,해룡면,선학,263-5,2005,81.6,257,선학마을새마을회,2020-08-20,,
조곡동,조곡경로당,조곡동,,263-210,1983,74.34,292,순천시,2020-08-20,,
조곡동,조곡부인경로당,조곡동,,263-210,1983,74.34,292,순천시,2020-08-20,,
매곡동,북문경로당,매곡동,,26-31,2019,63.99,107,순천시,2020-08-20,,
주암면,선산경로당,주암면,구산,260-1,2003,76.86,198,순천시주암면선산마을회,2020-08-20,,
향동,삼거경로당,삼거동,,260-1,1998,79.58,481,순천삼거마을회,2020-08-20,,
별량면,하대경로당,별량면,대곡,258-7,2003,71.4,242,순천시,2020-08-20,,
황전면,백야경로당,황전면,괴목,258-2,2016,85.65,403,황전면백야새마을회,2020-08-20,,
향동,범죽경로당,와룡동,,257-1,2004,67.4,235,순천시,2020-08-20,,
황전면,상평경로당,황전면,평촌,256-1,2006,80,559,평촌리상평마을회,2020-08-20,,
풍덕동,주공경로당,풍덕동,,255-5,1989,48.6,,,2020-08-20,,
풍덕동,금호남자경로당,풍덕동,,255-3,1991,82.5,,,2020-08-20,,
풍덕동,금호여자경로당,풍덕동,,255-3,1991,82.5,,금호아파트,2020-08-20,,
해룡면,신성남자경로당,해룡면,신성,254-4,1994,36,554,신성리애향협동영농회,2020-08-20,,
해룡면,신성여자경로당,해룡면,신성,254-4,1994,36,554,신성리애향협동영농회,2020-08-20,,
낙안면,창녕경로당,낙안면,창녕,254-1,2006,99,,창녕마을회,2020-08-20,,
상사면,상사경로당,상사면,흘산,252-39,2012,147.62,482,순천시,2020-08-20,,
낙안면,두능경로당,낙안면,용능,250-1,2001,66.64,635,낙안면두능새마을회,2020-08-20,,
해룡면,봉서경로당,해룡면,신대,247-3,1999,67.47,165,해룡면신대리봉서마을새마을회,2020-08-20,,
왕조1동,두지경로당,조례동,,246-6,2009,91.93,230,두지새마을회,2020-08-20,,
외서면,가용경로당,외서면,반용,238-2,1994,63,419,가용새마을회,2020-08-20,,
남제동,기린경로당,인제동,,234-4,1993,97.4,167.27,순천시,2020-08-20,,
황전면,내구경로당,황전면,내구,233-2,1999,73.24,304,내구리,2020-08-20,,
승주읍,칠성경로당,승주읍,신학,231-3,2005,81.5,258,순천시,2020-08-20,,
상사면,쌍지경로당,상사면,쌍지,231-2,2004,93.7,602,박윤석,2020-08-20,,
향동,옥천현대여자경로당,옥천동,,231-1,1990,48,,최인선(공마당1길 35),2020-08-20,,
상사면,금곡경로당,상사면,응령,229-5,1998,88.41,169,상사면응령리금곡마을회,2020-08-20,,
서면,강청경로당,서면,선평,227-1,2002,82.47,472,강청리새마을회,2020-08-20,,
낙안면,송기경로당,낙안면,검암,225-1,1998,72.45,294,검암리송기마을회,2020-08-20,,
주암면,마전경로당,주암면,궁각,223-7,2004,70,198,궁각리마전마을회,2020-08-20,,
