Longitude,Latitude,fid,NUMPOINTS
126.4743039,35.1397956,1445,10
126.4747962,35.0967369,1103,9
126.4754481,35.0958852,1105,7
126.4757966,35.1104489,1143,10
126.4765631,35.1546357,1182,9
126.4769966,35.0664498,1091,3
126.4772149,35.173068,1166,4
126.4777343,35.0793266,1096,6
126.4779128,35.0358723,1082,8
126.478733,35.1885655,1170,14
126.4787443,35.0586417,1089,5
126.4793949,35.1823817,1172,16
126.4809484,35.1587756,1181,6
126.4813831,35.0492134,1084,6
126.4825363,35.0380042,1441,12
126.4827498,35.0375427,1080,12
126.4835643,35.0826373,1095,12
126.4835908,35.0557775,1090,9
126.4839701,35.0771802,1094,6
126.4839848,35.1085525,1102,14
126.4840516,35.1312938,1140,6
126.4843171,35.1118149,1192,15
126.485918,35.15013,1185,13
126.4860008,35.0470105,1085,8
126.4863069,35.12207,1193,8
126.4864019,35.0408944,1079,12
126.4872161,35.1360223,1190,7
126.4874051,35.1186839,1191,13
126.4884847,35.1853635,1171,24
126.4895783,35.0252154,1259,2
126.4899344,35.0779667,1092,10
126.4903346,35.0523067,1086,8
126.4904544,35.0976495,1107,4
126.4904675,35.0744446,1093,6
126.491156,35.1087348,1307,12
126.491231,35.0604805,1088,8
126.4930512,35.0262582,1257,2
126.4932625,35.0286611,1258,2
126.4937383,35.1320151,1189,9
126.4937837,35.1660537,1179,18
126.4941341,35.0399253,1078,8
126.49443,35.0632712,1087,4
126.4950317,35.147161,1183,18
126.4959485,35.1532167,1180,19
126.4969526,35.154355,1434,19
126.4970335,35.118499,1305,15
126.4971856,35.1425188,1184,7
126.4976917,35.1563597,1188,19
126.4987547,35.1554954,1187,19
126.4987796,35.0708333,1109,16
126.4995969,35.0891254,1106,10
126.5001101,35.1234251,1306,13
126.5001128,35.0371448,1077,6
126.5001566,35.1695731,1178,18
126.5016465,35.0818102,1108,12
126.5031428,35.043699,1075,12
126.5035543,35.0200489,1252,4
126.5046271,35.011073,1254,16
126.5047999,35.1516363,1186,13
